branch_id,branch_name,city,state,opened_date,ifsc_code,months,days
1,pune branch 1,pune,maharashtra,2016-05-23,BNK0000000,May,23
2,bhopal branch 2,bhopal,madhya pradesh,2002-01-13,BNK0000001,January,13
3,lucknow branch 3,lucknow,uttar pradesh,2017-12-10,BNK0000002,December,10
4,kolkata branch 4,kolkata,west bengal,2002-05-04,BNK0000003,May,4
5,kolkata branch 5,kolkata,west bengal,2005-11-09,BNK0000004,November,9
6,kochi branch 6,kochi,kerala,2011-07-19,BNK0000005,July,19
7,pune branch 7,pune,maharashtra,1998-02-27,BNK0000006,February,27
8,chandigarh branch 8,chandigarh,punjab,2008-12-04,BNK0000007,December,4
9,bengaluru branch 9,bengaluru,karnataka,2007-08-17,BNK0000008,August,17
10,pune branch 1,pune,maharashtra,2014-08-06,BNK0000009,August,6
11,ahmedabad branch 2,ahmedabad,gujarat,2019-11-26,BNK0000010,November,26
12,indore branch 3,indore,madhya pradesh,2011-08-10,BNK0000011,August,10
13,bhopal branch 4,bhopal,madhya pradesh,2005-03-25,BNK0000012,March,25
14,bhopal branch 5,bhopal,madhya pradesh,2005-02-27,BNK0000013,February,27
15,chandigarh branch 6,chandigarh,punjab,2005-06-13,BNK0000014,June,13
16,bhopal branch 7,bhopal,madhya pradesh,2015-05-08,BNK0000015,May,8
17,ahmedabad branch 8,ahmedabad,gujarat,2003-01-12,BNK0000016,January,12
18,pune branch 9,pune,maharashtra,1999-03-05,BNK0000017,March,5
19,kochi branch 1,kochi,kerala,2003-05-11,BNK0000018,May,11
20,kolkata branch 2,kolkata,west bengal,1995-07-27,BNK0000019,July,27
21,ahmedabad branch 3,ahmedabad,gujarat,1997-08-27,BNK0000020,August,27
22,hyderabad branch 4,hyderabad,telangana,1997-04-02,BNK0000021,April,2
23,delhi branch 5,delhi,delhi,2014-04-16,BNK0000022,April,16
24,nagpur branch 6,nagpur,maharashtra,2013-01-21,BNK0000023,January,21
25,bhopal branch 7,bhopal,madhya pradesh,2012-06-02,BNK0000024,June,2
26,lucknow branch 8,lucknow,uttar pradesh,2006-07-19,BNK0000025,July,19
27,kolkata branch 9,kolkata,west bengal,2012-12-04,BNK0000026,December,4
28,kochi branch 1,kochi,kerala,1999-01-12,BNK0000027,January,12
29,jaipur branch 2,jaipur,rajasthan,2017-07-07,BNK0000028,July,7
30,kolkata branch 3,kolkata,west bengal,2007-07-12,BNK0000029,July,12
31,kolkata branch 4,kolkata,west bengal,2018-06-14,BNK0000030,June,14
32,bengaluru branch 5,bengaluru,karnataka,1998-10-22,BNK0000031,October,22
33,pune branch 6,pune,maharashtra,2007-06-08,BNK0000032,June,8
34,jaipur branch 7,jaipur,rajasthan,2012-05-29,BNK0000033,May,29
35,nagpur branch 8,nagpur,maharashtra,2007-05-23,BNK0000034,May,23
36,mumbai branch 9,mumbai,maharashtra,2006-02-25,BNK0000035,February,25
37,kochi branch 1,kochi,kerala,1999-02-26,BNK0000036,February,26
38,kochi branch 2,kochi,kerala,2000-12-20,BNK0000037,December,20
39,chennai branch 3,chennai,tamil nadu,2002-07-16,BNK0000038,July,16
