Hospital_ID,Hospital_Name,Hospital_Location,Hospital_Type,Total_Bed_Capacity,Emergency_Room_Available,
HOSP-00001,Wilson General Hospital,"Allenland, Delaware",Specialty,75 ,No,
HOSP-00002,Angelstad Community Clinic,"Stevenland, Montana",Teaching,500 ,No,
HOSP-00003,Elliott General Hospital,"Lake Cindyfort, Georgia",General,75 ,yes,
HOSP-00004,Harris General Hospital,"Sandraview, Vermont",Teaching,50 ,YES,
HOSP-00005,Mendoza Memorial Hospital,"Colinchester, Georgia",Clinic,300 ,yes,
HOSP-00006,Beck Memorial Hospital,"South Brianna, Rhode Island",Specialty,300 ,No,
HOSP-00007,Bennett General Hospital,"New Thomasport, New Hampshire",Specialty,75 ,No,
HOSP-00008,Holland Memorial Hospital,"South Mirandaborough, New Mexico",Specialty,500 ,No,
HOSP-00009,Marshall Memorial Hospital,"Aprilmouth, Delaware",General,250 ,yes,
HOSP-00010,New Kenneth Community Clinic,"Ellenberg, Connecticut",Teaching,75 ,YES,
HOSP-00011,Roberttown Community Clinic,"North Joeport, Delaware",General,300 ,No,
HOSP-00012,Paulstad Community Clinic,"Lake Jennifertown, Maine",Teaching,200 ,YES,
HOSP-00013,Anthonyshire Community Clinic,"West Robert, Missouri",General,150 ,No,
HOSP-00014,Buchanan General Hospital,"Lake Brittney, Idaho",General,300 ,YES,
HOSP-00015,Lake William Medical Center,"New Maria, Michigan",Teaching,150 ,Yes,
HOSP-00016,Popeburgh Community Clinic,"West Nathanview, Florida",Teaching,200 ,No,
HOSP-00017,East Rachel Community Clinic,"Amberstad, Florida",Specialty,500 ,YES,
HOSP-00018,West Kevinside Community Clinic,"New Chelsea, Florida",Clinic,200 ,yes,
HOSP-00019,Wells General Hospital,"Christopherland, New York",General,100 ,No,
HOSP-00020,Robertshire Community Clinic,"Lewismouth, West Virginia",Teaching,250 ,No,
HOSP-00021,Hoffman Memorial Hospital,"Rossside, Virginia",Teaching,500 ,No,
HOSP-00022,Whitakerfort Community Clinic,"Morganton, Wisconsin",Teaching,50 ,yes,
HOSP-00023,Haas Memorial Hospital,"Clarkburgh, Virginia",Teaching,75 ,YES,
HOSP-00024,Cooper Memorial Hospital,"Wareview, Arizona",Teaching,100 ,YES,
HOSP-00025,Tinaland Community Clinic,"Tracymouth, Mississippi",General,200 ,YES,
HOSP-00026,Rose Memorial Hospital,"Taylormouth, Mississippi",General,150 ,YES,
HOSP-00027,Shelleyburgh Medical Center,"Lake Brian, Idaho",Teaching,50 ,Yes,
HOSP-00028,Mccullough General Hospital,"Katherineburgh, North Carolina",Teaching,75 ,No,
HOSP-00029,Griffithmouth Medical Center,"Mcconnellside, Rhode Island",Clinic,75 ,No,
HOSP-00030,Johnson General Hospital,"Smithhaven, New Jersey",Specialty,250 ,No,
HOSP-00031,Fischer General Hospital,"New Bobbyhaven, New Hampshire",Specialty,500 ,No,
HOSP-00032,South Christopherside Medical Center,"Lake Tamaramouth, Virginia",Teaching,100 ,No,
HOSP-00033,Lopez Memorial Hospital,"Morenofort, Indiana",General,300 ,No,
