Hospital_ID,Hospital_Name,Hospital_Location,Hospital_Type,Total_Bed_Capacity,Emergency_Room_Available,Main_Contact_Number
HOSP-00001,Wilson General Hospital,"Allenland, Delaware",Specialty,75,No,317-707-5364x5568
HOSP-00002,Angelstad Community Clinic,"Stevenland, Montana",Teaching,500,No,001-687-816-8976
HOSP-00003,Elliott General Hospital,"Lake Cindyfort, Georgia",General,75,yes,831.877.8486x4887
HOSP-00004,Harris General Hospital,"Sandraview, Vermont",Teaching,50,YES,678.976.8045x7178
HOSP-00005,Mendoza Memorial Hospital,"Colinchester, Georgia",Clinic,300,yes,201.607.9819x331
HOSP-00006,Beck Memorial Hospital,"South Brianna, Rhode Island",Specialty,300,No ,001-484-516-2294x866
HOSP-00007,Bennett General Hospital,"New Thomasport, New Hampshire",Specialty,75,No ,917-579-9229x83695
HOSP-00008,Holland Memorial Hospital,"South Mirandaborough, New Mexico",Specialty,500,No,001-802-383-8222x646
HOSP-00009,Marshall Memorial Hospital,"Aprilmouth, Delaware",General,250,yes,784.413.3017x56820
HOSP-00010,New Kenneth Community Clinic,"Ellenberg, Connecticut",Teaching,75,YES,316-621-0521x854
HOSP-00011,Roberttown Community Clinic,"North Joeport, Delaware",General,300,No ,889-755-7990
HOSP-00012,Paulstad Community Clinic,"Lake Jennifertown, Maine",Teaching,200,YES,001-254-314-6590x853
HOSP-00013,Anthonyshire Community Clinic,"West Robert, Missouri",General,150,No,863.622.8088
HOSP-00014,Buchanan General Hospital,"Lake Brittney, Idaho",General,300,YES,+1-508-945-8500
HOSP-00015,Lake William Medical Center,"New Maria, Michigan",Teaching,150,Yes,555.477.8794
HOSP-00016,Popeburgh Community Clinic,"West Nathanview, Florida",Teaching,200,No ,001-410-383-9490x668
HOSP-00017,East Rachel Community Clinic,"Amberstad, Florida",Specialty,500,YES,(430)497-6582x8025
HOSP-00018,West Kevinside Community Clinic,"New Chelsea, Florida",Clinic,200,yes,357-711-6494
HOSP-00019,Wells General Hospital,"Christopherland, New York",General,100,No ,001-444-532-5688x55765
HOSP-00020,Robertshire Community Clinic,"Lewismouth, West Virginia",Teaching,250,No,001-626-445-1547
HOSP-00021,Hoffman Memorial Hospital,"Rossside, Virginia",Teaching,500,No ,265-617-8836x55062
HOSP-00022,Whitakerfort Community Clinic,"Morganton, Wisconsin",Teaching,50,yes,714.350.3784
HOSP-00023,Haas Memorial Hospital,"Clarkburgh, Virginia",Teaching,75,YES,419-568-9821x0460
HOSP-00024,Cooper Memorial Hospital,"Wareview, Arizona",Teaching,100,YES,+1-672-507-5473x5486
HOSP-00025,Tinaland Community Clinic,"Tracymouth, Mississippi",General,200,YES,(518)224-8861
